序号,专业名,学位,链接
97,Mathematics,MMath (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics/
98,Mathematics and Accounting and Finance,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-accounting-and-finance/
99,Mathematics and Physics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-physics-bsc/
100,Mathematics and Physics,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-physics-mphys/
101,Mathematics and Sport Science,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-sport-science/
102,Mathematics with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/mathematics/
103,Mathematics with Economics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-with-economics/
104,Mathematics with Statistics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-with-statistics/
105,Mechanical Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mechanical-engineering-beng/
106,Mechanical Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mechanical-engineering-meng/
107,Mechanical Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/mechanical-engineering/
108,Media and Communication,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/media-and-communication-bsc/
109,Medicinal and Pharmaceutical Chemistry,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/medicinal-pharmaceutical-chemistry-bsc/
110,Medicinal and Pharmaceutical Chemistry,MChem (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/medicinal-pharmaceutical-chemistry-mchem/
111,Natural Sciences,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/l-sciences-bsc/
112,Natural Sciences,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/l-sciences-msci/
113,Natural Sciences with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/natural-sciences/
114,Physics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-bsc/
115,Physics,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-mphys/
116,Physics with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/physics/
117,Physics with Computing,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-computing-bsc/
118,Physics with Computing,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-computing-mphys/
119,Physics with Theoretical Physics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-bsc/
120,Physics with Theoretical Physics,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-mphys/
121,Politics,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/politics/
122,Politics and International Relations,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/politics-and-international-relations/
